orderId,productId,quantity,price
ORD1,PROD10,1,60.265681901286506
ORD2,PROD4,10,31.93351902147893
ORD3,PROD7,4,27.969880123500694
ORD4,PROD3,9,52.210989799496005
ORD5,PROD6,1,71.973137140596
ORD6,PROD8,10,22.305657896930512
ORD7,PROD8,2,26.152303617532347
ORD8,PROD7,3,77.1658622493199
ORD9,PROD5,7,53.198494287437114
ORD10,PROD1,4,69.10422904582862
ORD11,PROD3,7,51.66925261422516
ORD12,PROD9,10,76.61447881567545
ORD13,PROD6,10,54.73476793155305
ORD14,PROD4,4,88.54698842404962
ORD15,PROD5,4,52.168706966500615
ORD16,PROD2,6,20.550126543445632
ORD17,PROD3,6,92.30031995444155
ORD18,PROD8,4,36.00669872378596
ORD19,PROD4,1,78.62292348522968
ORD20,PROD1,1,96.82955771578092
ORD21,PROD10,8,26.54489455331745
ORD22,PROD6,6,90.42771982144875
ORD23,PROD2,7,19.372875348246215
ORD24,PROD5,3,27.91410901614999
ORD25,PROD9,2,99.03282116124684
ORD26,PROD1,1,75.19828315143054
ORD27,PROD1,1,66.26312346477246
ORD28,PROD9,9,42.99228531356887
ORD29,PROD9,9,77.05497146852261
ORD30,PROD7,2,33.955025230505356
ORD31,PROD2,6,56.96872293177078
ORD32,PROD6,10,35.210368040721676
ORD33,PROD3,1,22.620987348193047
ORD34,PROD3,4,32.296331753037194
ORD35,PROD8,1,90.11569429326414
ORD36,PROD8,6,26.237637974261048
ORD37,PROD8,2,53.483400088978414
ORD38,PROD7,10,68.8810493768635
ORD39,PROD6,9,62.29664731643807
ORD40,PROD4,2,42.892731483314016
ORD41,PROD4,1,86.54514365688972
ORD42,PROD6,8,11.889148135980786
ORD43,PROD8,8,28.583102418268183
ORD44,PROD9,6,53.057732795974154
ORD45,PROD10,1,36.50207098939626
ORD46,PROD7,1,39.32087885940588
ORD47,PROD1,8,70.63608203378408
ORD48,PROD10,6,90.60654079582105
ORD49,PROD4,8,65.07201426493482
ORD50,PROD7,5,14.11099445074273
ORD51,PROD3,8,89.0165257768931
ORD52,PROD10,2,91.57409077002367
ORD53,PROD10,5,48.6619559068148
ORD54,PROD1,4,27.53459617163459
ORD55,PROD6,5,48.797109060949744
ORD56,PROD4,1,66.29296626830738
ORD57,PROD8,5,64.82486132259618
ORD58,PROD2,6,46.88117177197492
ORD59,PROD2,5,60.07699824287399
ORD60,PROD3,4,84.723991552625
ORD61,PROD7,1,30.357771653950586
ORD62,PROD9,9,45.873379233981694
ORD63,PROD6,10,57.50113738070639
ORD64,PROD4,8,24.707367289453867
ORD65,PROD8,7,66.39266663439469
ORD66,PROD8,6,38.807153031292515
ORD67,PROD2,7,35.38561240889606
ORD68,PROD6,1,45.36086821546858
ORD69,PROD5,1,38.331704547085536
ORD70,PROD10,10,91.88967392969236
